sample_id,reference_path,proposed_path,chatterbox_path,fishspeech_path,f5tts_path,elevenlabs_path,text,original_index
mtedx_es_j2j0Fc5OXHo_0017.flac,mtedx_es_j2j0Fc5OXHo_0017.flac/reference.flac,mtedx_es_j2j0Fc5OXHo_0017.flac/proposed.wav,mtedx_es_j2j0Fc5OXHo_0017.flac/chatterbox.wav,mtedx_es_j2j0Fc5OXHo_0017.flac/fishspeech.wav,mtedx_es_j2j0Fc5OXHo_0017.flac/f5tts.flac,mtedx_es_j2j0Fc5OXHo_0017.flac/elevenlabs.wav,"I learned how to modulate the intensity of each movement with one sole dance class and even if life controls the music, I am in charge of my movements.",11
mtedx_pt__d_n-z3s8Lo_0084.flac,mtedx_pt__d_n-z3s8Lo_0084.flac/reference.flac,mtedx_pt__d_n-z3s8Lo_0084.flac/proposed.wav,mtedx_pt__d_n-z3s8Lo_0084.flac/chatterbox.wav,mtedx_pt__d_n-z3s8Lo_0084.flac/fishspeech.wav,mtedx_pt__d_n-z3s8Lo_0084.flac/f5tts.flac,mtedx_pt__d_n-z3s8Lo_0084.flac/elevenlabs.wav,"to annoy all of you with it, because I believe that when we get annoyed we get to change some things.",41
mtedx_es_Gq_OT0dbq0g_0002.flac,mtedx_es_Gq_OT0dbq0g_0002.flac/reference.flac,mtedx_es_Gq_OT0dbq0g_0002.flac/proposed.wav,mtedx_es_Gq_OT0dbq0g_0002.flac/chatterbox.wav,mtedx_es_Gq_OT0dbq0g_0002.flac/fishspeech.wav,mtedx_es_Gq_OT0dbq0g_0002.flac/f5tts.flac,mtedx_es_Gq_OT0dbq0g_0002.flac/elevenlabs.wav,"We're going to do it as needed, but it has a lot of complicated consequences to it: We are having a hard time politically, economically and socially, too.",1
mtedx_pt_exYf8BKh6Ac_0007.flac,mtedx_pt_exYf8BKh6Ac_0007.flac/reference.flac,mtedx_pt_exYf8BKh6Ac_0007.flac/proposed.wav,mtedx_pt_exYf8BKh6Ac_0007.flac/chatterbox.wav,mtedx_pt_exYf8BKh6Ac_0007.flac/fishspeech.wav,mtedx_pt_exYf8BKh6Ac_0007.flac/f5tts.flac,mtedx_pt_exYf8BKh6Ac_0007.flac/elevenlabs.wav,"If you can't allow yourself to look at you in the silence of your mind, you'll never know who you are.",42
mtedx_fr_N6d6yM-jt94_0077.flac,mtedx_fr_N6d6yM-jt94_0077.flac/reference.flac,mtedx_fr_N6d6yM-jt94_0077.flac/proposed.wav,mtedx_fr_N6d6yM-jt94_0077.flac/chatterbox.wav,mtedx_fr_N6d6yM-jt94_0077.flac/fishspeech.wav,mtedx_fr_N6d6yM-jt94_0077.flac/f5tts.flac,mtedx_fr_N6d6yM-jt94_0077.flac/elevenlabs.wav,"Legally, we have to help the governments to locate and hunt down the perpetrators of crime, to choose the necessary laws, adapted to their own country.",31
mtedx_fr_GoqxIIdJsuQ_0105.flac,mtedx_fr_GoqxIIdJsuQ_0105.flac/reference.flac,mtedx_fr_GoqxIIdJsuQ_0105.flac/proposed.wav,mtedx_fr_GoqxIIdJsuQ_0105.flac/chatterbox.wav,mtedx_fr_GoqxIIdJsuQ_0105.flac/fishspeech.wav,mtedx_fr_GoqxIIdJsuQ_0105.flac/f5tts.flac,mtedx_fr_GoqxIIdJsuQ_0105.flac/elevenlabs.wav,"Just remember this simple phrase: ""As long as the heart beats, everything is possible.""",29
mtedx_pt_Z5MZrsDRK7o_0028.flac,mtedx_pt_Z5MZrsDRK7o_0028.flac/reference.flac,mtedx_pt_Z5MZrsDRK7o_0028.flac/proposed.wav,mtedx_pt_Z5MZrsDRK7o_0028.flac/chatterbox.wav,mtedx_pt_Z5MZrsDRK7o_0028.flac/fishspeech.wav,mtedx_pt_Z5MZrsDRK7o_0028.flac/f5tts.flac,mtedx_pt_Z5MZrsDRK7o_0028.flac/elevenlabs.wav,"I did not know if I would be back home when I left home for work,",40
mtedx_es_f76D1DK7IBA_0024.flac,mtedx_es_f76D1DK7IBA_0024.flac/reference.flac,mtedx_es_f76D1DK7IBA_0024.flac/proposed.wav,mtedx_es_f76D1DK7IBA_0024.flac/chatterbox.wav,mtedx_es_f76D1DK7IBA_0024.flac/fishspeech.wav,mtedx_es_f76D1DK7IBA_0024.flac/f5tts.flac,mtedx_es_f76D1DK7IBA_0024.flac/elevenlabs.wav,Because we are living the most amazing transformation in the history of human culture.,10
mtedx_it_Wr2YJoQeYsE_0136.flac,mtedx_it_Wr2YJoQeYsE_0136.flac/reference.flac,mtedx_it_Wr2YJoQeYsE_0136.flac/proposed.wav,mtedx_it_Wr2YJoQeYsE_0136.flac/chatterbox.wav,mtedx_it_Wr2YJoQeYsE_0136.flac/fishspeech.wav,mtedx_it_Wr2YJoQeYsE_0136.flac/f5tts.flac,mtedx_it_Wr2YJoQeYsE_0136.flac/elevenlabs.wav,"Italian words help you to be easily understood by all, and that's democracy, because being understood is democracy.",21
mtedx_it_l1BOwcc-RQM_0059.flac,mtedx_it_l1BOwcc-RQM_0059.flac/reference.flac,mtedx_it_l1BOwcc-RQM_0059.flac/proposed.wav,mtedx_it_l1BOwcc-RQM_0059.flac/chatterbox.wav,mtedx_it_l1BOwcc-RQM_0059.flac/fishspeech.wav,mtedx_it_l1BOwcc-RQM_0059.flac/f5tts.flac,mtedx_it_l1BOwcc-RQM_0059.flac/elevenlabs.wav,"Aaron became the subject of a real judicial persecution for downloading hundreds of thousands of articles from an academic database, and he could do it, but not on such scale.",23
mtedx_es_KoEbM-fnEyU_0013.flac,mtedx_es_KoEbM-fnEyU_0013.flac/reference.flac,mtedx_es_KoEbM-fnEyU_0013.flac/proposed.wav,mtedx_es_KoEbM-fnEyU_0013.flac/chatterbox.wav,mtedx_es_KoEbM-fnEyU_0013.flac/fishspeech.wav,mtedx_es_KoEbM-fnEyU_0013.flac/f5tts.flac,mtedx_es_KoEbM-fnEyU_0013.flac/elevenlabs.wav,"that's a good tip. When we're hungry, we don't crave apples, we crave everything, we're ravenous for high-calorie foods.",2
mtedx_it_cL4-5hnM70o_0014.flac,mtedx_it_cL4-5hnM70o_0014.flac/reference.flac,mtedx_it_cL4-5hnM70o_0014.flac/proposed.wav,mtedx_it_cL4-5hnM70o_0014.flac/chatterbox.wav,mtedx_it_cL4-5hnM70o_0014.flac/fishspeech.wav,mtedx_it_cL4-5hnM70o_0014.flac/f5tts.flac,mtedx_it_cL4-5hnM70o_0014.flac/elevenlabs.wav,And when it hits one or both of your parents and you are still a child or an adolescent you rely on them it becomes really hard.,22
